Jaki jest wzór chemiczny dwutlenku węgla?;C2O;CO;C;CO2;CO2
W jakiej postaci występuje tlen w powietrzu?;O2;O;N;CO2;O2
Co powstanie po zmieszaniu łyżeczki stałego nadmanganianu (VII) potasu z kilkoma kroplami gliceryny?;Błoto;Cały nadmanganian rozpuści się w glicerynie;Samozapłon;Gliceryna spłynie po nadmanganianie, gdyż nie jest w stanie go rozpuścić;Samozapłon
Co wydziela się podczas dezynsekcji mieszaniną formaliny z nadmanganianem (VII) potasu?;Gazowy formaldehyd;Gazowy nadmanganian (VII) potasu;Cyjanowodór;Trutka na szczury;Gazowy formaldehyd
Jaki kolor ma fenoloftaleina w mocnym kwasie?;Malinowy;Czerwony;Bezbarwny;Niebieski;Czerwony
0 stopni Celsjusza to ile Kelwinów?;273;0;-62;100;273
Suchy lód to:;Gaz o temperaturze poniżej 0;Woda o temperaturze poniżej 0;Zamrożone powietrze pozbawione pary wodnej;Stały dwutlenek węgla;Stały dwutlenek węgla
Przy zatruciu metanolem należy podać:;Więcej metanolu;Etanol;Środki wymiotne;Wodę;Etanol
W jakich proporcjach maksymalnych etanol miesza się z wodą (etanol:woda)?;1:1;1:2;Każdych;2:1;Każdych
Czy woda destylowana przewodzi prąd elektryczny?;Tak;Tak, z dużą opornością;Tak, z małą opornością;Nie;Nie
